product,dose,category
BAC Water,(10mL / vial),Reconstitution Solution
GLP3-R,(10mg / vial),Metabolic Compound
GLP3-R,(30mg / vial),Metabolic Compound
GLP3-R,(50mg / vial),Metabolic Compound
BPC 157,(5mg / vial),Recovery Compound
BPC 157,(10mg / vial),Recovery Compound
TB 500,(5mg / vial),Growth Compound
TB 500,(10mg / vial),Growth Compound
CJC-1295 w/o DAC,(5mg / vial),Growth Compound
CJC-1295 w DAC,(5mg / vial),Growth Compound
CJC-1295 w/o DAC + IPA 5mg,(5mg / vial),Growth Compound
CJC-1295 w DAC + IPA 5mg,(5mg / vial),Growth Compound
Ipamorelin,(5mg / vial),Metabolic Compound
Ipamorelin,(10mg / vial),Metabolic Compound
Tesamorelin,(5mg / vial),Growth Compound
Tesamorelin,(10mg / vial),Growth Compound
Tesamorelin,(20mg / vial),Growth Compound
MOTS-C,(10mg / vial),Longevity Compound
MOTS-C,(20mg / vial),Longevity Compound
MOTS-C,(30mg / vial),Longevity Compound
GHK-CU,(50mg / vial),Recovery Compound
GHK-CU,(100mg / vial),Recovery Compound
Sermorelin Acetate,(5mg / vial),Growth Compound
Sermorelin Acetate,(10mg / vial),Growth Compound
NAD+,(100mg / vial),Antioxidant Compound
NAD+,(500mg / vial),Antioxidant Compound
Tirz,(10mg / vial),Recovery Compound
Tirz,(20mg / vial),Recovery Compound
IGF-1 LR3,(1mg / vial),Growth Compound
IGF-1 LR3,(1mg / vial),Growth Compound
Selank,(10mg / vial),Nootropic Compound
Semax,(10mg / vial),Nootropic Compound
GLOW,(70mg / vial),Recovery Compound
KLOW,(80mg / vial),Recovery Compound